id,spacegroup,density,energy,minimization_step,trial_number,minimization_time,metadata
ttbi-QR-14-1757-3,14,0.7313,-154.9345,3,1757,19.54265570640564,
ttbi-QR-14-3075-3,14,0.8803,-154.9234,3,3075,12.38510513305664,
ttbi-QR-88-32735-3,88,1.1696,-154.9226,3,32735,31.035760402679443,
ttbi-QR-15-16356-3,15,0.8969,-154.8902,3,16356,98.80712962150574,
ttbi-QR-56-23816-3,56,1.2202,-154.8879,3,23816,32.923768758773804,
ttbi-QR-14-12601-3,14,1.1147,-154.8823,3,12601,15.985832691192627,
ttbi-QR-61-13268-3,61,1.1103,-154.8739,3,13268,62.64675831794739,
ttbi-QR-14-3314-3,14,0.9582,-154.8685,3,3314,17.99870777130127,
ttbi-QR-56-8930-3,56,0.7635,-154.8418,3,8930,142.67279839515686,
ttbi-QR-148-21586-3,148,1.2645,-154.8273,3,21586,32.53183555603027,
ttbi-QR-148-7048-3,148,1.111,-154.8192,3,7048,33.71350455284119,
ttbi-QR-61-1005-3,61,0.9775,-154.8164,3,1005,33.191344261169434,
ttbi-QR-14-11028-3,14,1.0687,-154.8159,3,11028,24.06248116493225,
ttbi-QR-33-6913-3,33,0.8913,-154.8027,3,6913,40.694955825805664,
ttbi-QR-61-15317-3,61,1.2326,-154.8006,3,15317,37.181445837020874,
ttbi-QR-15-9693-3,15,0.8891,-154.7992,3,9693,13.171412706375122,
ttbi-QR-43-9288-3,43,1.1387,-154.7967,3,9288,20.317951917648315,
ttbi-QR-14-9109-3,14,1.211,-154.7953,3,9109,14.872205257415771,
ttbi-QR-19-10302-3,19,1.1882,-154.7942,3,10302,17.79376983642578,
ttbi-QR-60-1968-3,60,0.8901,-154.7861,3,1968,63.395671129226685,
ttbi-QR-13-9936-3,13,0.8409,-154.7746,3,9936,11.271121740341187,
ttbi-QR-61-11980-3,61,1.1952,-154.7712,3,11980,39.08865666389465,
ttbi-QR-14-11769-3,14,1.0542,-154.7712,3,11769,17.22466516494751,
ttbi-QR-14-9573-3,14,0.9585,-154.7488,3,9573,20.89259934425354,
ttbi-QR-14-429-3,14,0.7588,-154.7428,3,429,14.040199995040894,
ttbi-QR-43-7794-3,43,0.4029,-154.738,3,7794,10.72019362449646,
ttbi-QR-14-2127-3,14,0.8362,-154.736,3,2127,14.682210922241211,
ttbi-QR-56-11975-3,56,1.0769,-154.7333,3,11975,49.45912408828735,
ttbi-QR-9-10987-3,9,1.2564,-154.7321,3,10987,8.180965900421143,
ttbi-QR-2-13629-3,2,0.9848,-154.7316,3,13629,9.124805212020874,
ttbi-QR-148-880-3,148,1.0363,-154.7156,3,880,25.986008167266846,
ttbi-QR-13-4783-3,13,1.024,-154.6912,3,4783,15.562223196029663,
ttbi-QR-61-17621-3,61,0.9973,-154.6905,3,17621,96.72426247596741,
ttbi-QR-14-3575-3,14,0.9045,-154.687,3,3575,14.258005619049072,
ttbi-QR-61-3770-3,61,1.2225,-154.6863,3,3770,34.207255601882935,
ttbi-QR-19-2738-3,19,1.1069,-154.6716,3,2738,15.194814920425415,
ttbi-QR-15-6558-3,15,0.7763,-154.6654,3,6558,15.060940980911255,
ttbi-QR-15-12516-3,15,1.2312,-154.6603,3,12516,20.548791646957397,
ttbi-QR-60-8677-3,60,1.0737,-154.6558,3,8677,32.12225604057312,
ttbi-QR-15-10963-3,15,1.1274,-154.6424,3,10963,21.21150779724121,
ttbi-QR-20-8403-3,20,0.985,-154.6129,3,8403,15.229450464248657,
ttbi-QR-76-4789-3,76,1.302,-154.6065,3,4789,14.512294054031372,
ttbi-QR-18-15636-3,18,1.294,-154.6046,3,15636,46.094799518585205,
ttbi-QR-14-2191-3,14,0.8042,-154.6029,3,2191,17.084670305252075,
ttbi-QR-15-19415-3,15,0.9295,-154.5953,3,19415,13.917608976364136,
ttbi-QR-43-2276-3,43,1.1509,-154.5731,3,2276,16.998522520065308,
ttbi-QR-5-4081-3,5,1.1592,-154.5728,3,4081,7.374799013137817,
ttbi-QR-14-3757-3,14,1.2094,-154.5725,3,3757,19.09372115135193,
ttbi-QR-15-7567-3,15,1.0522,-154.5642,3,7567,34.541635274887085,
ttbi-QR-88-12822-3,88,0.3702,-154.5616,3,12822,11.701770067214966,
ttbi-QR-56-16354-3,56,1.1605,-154.5603,3,16354,36.53035497665405,
ttbi-QR-15-15512-3,15,1.0699,-154.5406,3,15512,16.87059998512268,
ttbi-QR-60-466-3,60,1.0575,-154.528,3,466,34.27235817909241,
ttbi-QR-19-657-3,19,0.9914,-154.5189,3,657,13.708800792694092,
ttbi-QR-14-2895-3,14,0.8039,-154.4903,3,2895,15.998872756958008,
ttbi-QR-13-23393-3,13,0.7903,-154.4798,3,23393,37.8448600769043,
ttbi-QR-13-4327-3,13,0.8166,-154.4687,3,4327,18.936991930007935,
ttbi-QR-15-4486-3,15,1.0422,-154.4677,3,4486,17.03769588470459,
ttbi-QR-14-14353-3,14,1.1356,-154.4631,3,14353,17.34838366508484,
ttbi-QR-86-7041-3,86,1.0915,-154.4618,3,7041,33.82427358627319,
ttbi-QR-60-12933-3,60,1.1095,-154.4503,3,12933,70.44884300231934,
ttbi-QR-61-13672-3,61,1.0328,-154.4427,3,13672,35.93202495574951,
ttbi-QR-148-15758-3,148,0.9398,-154.4258,3,15758,29.49176549911499,
ttbi-QR-15-10398-3,15,1.0023,-154.4242,3,10398,13.887288808822632,
ttbi-QR-60-16602-3,60,1.0227,-154.4218,3,16602,31.57235813140869,
ttbi-QR-14-10696-3,14,0.8736,-154.4162,3,10696,11.204043865203857,
ttbi-QR-13-8714-3,13,0.9058,-154.4073,3,8714,18.09900164604187,
ttbi-QR-61-5872-3,61,1.0049,-154.3912,3,5872,137.48649406433105,
ttbi-QR-15-8471-3,15,1.0824,-154.381,3,8471,42.653618812561035,
ttbi-QR-96-15992-3,96,0.7968,-154.3798,3,15992,43.40991544723511,
ttbi-QR-15-7975-3,15,1.1092,-154.379,3,7975,33.60072422027588,
ttbi-QR-61-11668-3,61,1.2077,-154.3654,3,11668,32.01555943489075,
ttbi-QR-61-6534-3,61,1.0228,-154.3539,3,6534,29.07272982597351,
ttbi-QR-15-2010-3,15,0.9375,-154.3442,3,2010,15.671473741531372,
ttbi-QR-14-14481-3,14,1.3401,-154.3403,3,14481,21.702872276306152,
ttbi-QR-5-6393-3,5,0.9271,-154.3299,3,6393,6.694581985473633,
ttbi-QR-61-16151-3,61,1.0439,-154.3268,3,16151,107.31382489204407,
ttbi-QR-61-13558-3,61,1.2267,-154.3249,3,13558,39.104533433914185,
ttbi-QR-14-5905-3,14,0.9151,-154.3195,3,5905,18.84760880470276,
ttbi-QR-15-433-3,15,1.1569,-154.3183,3,433,16.707277297973633,
ttbi-QR-15-4239-3,15,0.9779,-154.3104,3,4239,14.671535730361938,
ttbi-QR-13-10886-3,13,1.1201,-154.3094,3,10886,30.351794004440308,
ttbi-QR-15-15364-3,15,1.0049,-154.3061,3,15364,16.550687313079834,
ttbi-QR-14-7195-3,14,1.2457,-154.2954,3,7195,17.58611822128296,
ttbi-QR-20-1668-3,20,0.9218,-154.2874,3,1668,56.6380934715271,
ttbi-QR-14-14570-3,14,1.071,-154.2873,3,14570,15.747631549835205,
ttbi-QR-14-11608-3,14,1.1967,-154.2868,3,11608,16.20472288131714,
ttbi-QR-14-14309-3,14,0.9336,-154.2865,3,14309,13.147073745727539,
ttbi-QR-96-13557-3,96,1.1989,-154.2813,3,13557,32.50967884063721,
ttbi-QR-60-17322-3,60,0.9236,-154.2791,3,17322,28.386862993240356,
ttbi-QR-14-11305-3,14,1.0465,-154.252,3,11305,36.213128328323364,
ttbi-QR-9-5942-3,9,1.1231,-154.2486,3,5942,13.756181716918945,
ttbi-QR-61-4467-3,61,1.1245,-154.2409,3,4467,35.34530258178711,
ttbi-QR-148-2212-3,148,1.1709,-154.2299,3,2212,30.014560222625732,
ttbi-QR-13-11188-3,13,1.1165,-154.2268,3,11188,23.472663402557373,
ttbi-QR-2-15866-3,2,0.862,-154.218,3,15866,7.822543382644653,
ttbi-QR-96-14837-3,96,1.0536,-154.2178,3,14837,53.73904252052307,
ttbi-QR-14-12197-3,14,0.9734,-154.214,3,12197,17.31022834777832,
ttbi-QR-20-5777-3,20,0.9526,-154.2127,3,5777,12.828952074050903,
ttbi-QR-15-13551-3,15,1.1987,-154.2051,3,13551,17.023331880569458,
ttbi-QR-15-15629-3,15,0.9933,-154.1748,3,15629,16.65326189994812,
ttbi-QR-86-5159-3,86,1.0296,-154.155,3,5159,25.692033290863037,
ttbi-QR-13-8413-3,13,1.1312,-154.1438,3,8413,40.049856185913086,
ttbi-QR-148-13602-3,148,0.9307,-154.1328,3,13602,25.67108917236328,
ttbi-QR-14-2451-3,14,0.9442,-154.1309,3,2451,16.2785587310791,
ttbi-QR-96-6026-3,96,1.0362,-154.1307,3,6026,26.752689123153687,
ttbi-QR-169-10460-3,169,0.7578,-154.1296,3,10460,15.112879276275635,
ttbi-QR-14-447-3,14,1.2274,-154.1094,3,447,18.01785683631897,
ttbi-QR-33-7738-3,33,0.8986,-154.1074,3,7738,10.29485821723938,
ttbi-QR-61-11903-3,61,0.9609,-154.1038,3,11903,33.75583457946777,
ttbi-QR-76-6504-3,76,1.1647,-154.1031,3,6504,10.998184204101562,
