id,spacegroup,density,energy,molecule_id,minimization_step,trial_number,minimization_time,metadata
resorcinol-QR-14-3243-3-OPT-1,14,1.4398301324275808,-50345.46208824004,no mol_id exists,1,3243,81.6739993095398,
resorcinol-QR-19-1854-3-OPT-1,19,1.4230839447368617,-50345.40589157429,no mol_id exists,1,1854,70.53006958961487,
resorcinol-QR-14-4709-3-OPT-1,14,1.458993335423906,-50345.38975032726,no mol_id exists,1,4709,157.9909472465515,
resorcinol-QR-14-10837-3-OPT-1,14,1.4771582592079502,-50345.385335351755,no mol_id exists,1,10837,261.62197971343994,
resorcinol-QR-61-6313-3-OPT-1,61,1.4124817535350798,-50345.37755881707,no mol_id exists,1,6313,376.42713832855225,
resorcinol-QR-61-6706-3-OPT-1,61,1.381266706026548,-50345.377497610105,no mol_id exists,1,6706,1195.4347755908966,
resorcinol-QR-9-5462-3-OPT-1,9,1.4184907816907792,-50345.37419213817,no mol_id exists,1,5462,95.77323460578918,
resorcinol-QR-14-9143-3-OPT-1,14,1.4283689827730603,-50345.354789166595,no mol_id exists,1,9143,158.1934299468994,
resorcinol-QR-4-10543-3-OPT-1,4,1.4081061918966102,-50345.340163161345,no mol_id exists,1,10543,66.30336380004883,
resorcinol-QR-4-1845-3-OPT-1,4,1.486535992661161,-50345.323426253955,no mol_id exists,1,1845,79.19114065170288,
resorcinol-QR-61-8667-3-OPT-1,61,1.3933885119935936,-50345.320843385314,no mol_id exists,1,8667,979.1181266307831,
resorcinol-QR-19-6986-3-OPT-1,19,1.3926166497599166,-50345.320785460215,no mol_id exists,1,6986,520.1873300075531,
resorcinol-QR-61-922-3-OPT-1,61,1.420115924562927,-50345.31287505784,no mol_id exists,1,922,405.9501311779022,
resorcinol-QR-9-5246-3-OPT-1,9,1.3636348204280229,-50345.3124010566,no mol_id exists,1,5246,60.61334991455078,
resorcinol-QR-14-2849-3-OPT-1,14,1.460990457434839,-50345.3094745428,no mol_id exists,1,2849,500.2011344432831,
resorcinol-QR-14-6424-3-OPT-1,14,1.4205761776280357,-50345.28717315028,no mol_id exists,1,6424,87.06016254425049,
resorcinol-QR-4-7166-3-OPT-1,4,1.3613695645483284,-50345.28581228788,no mol_id exists,1,7166,23.517894983291626,
resorcinol-QR-61-12214-3-OPT-1,61,1.423290842222207,-50345.27873640075,no mol_id exists,1,12214,822.0060911178589,
resorcinol-QR-14-117-3-OPT-1,14,1.4132858234163426,-50345.27479037241,no mol_id exists,1,117,235.77057266235352,
resorcinol-QR-14-1092-3-OPT-1,14,1.4142876782869949,-50345.25780607726,no mol_id exists,1,1092,92.17943286895752,
resorcinol-QR-4-5388-3-OPT-1,4,1.4686626332108164,-50345.23125203078,no mol_id exists,1,5388,72.92470908164978,
resorcinol-QR-61-5364-3-OPT-1,61,1.3757001759026286,-50345.2225425246,no mol_id exists,1,5364,823.2329280376434,
resorcinol-QR-14-3591-3-OPT-1,14,1.4353423415749407,-50345.21911775651,no mol_id exists,1,3591,59.208627223968506,
resorcinol-QR-19-7288-3-OPT-1,19,1.4349213988204743,-50345.21635645231,no mol_id exists,1,7288,202.21494555473328,
resorcinol-QR-61-1136-3-OPT-1,61,1.4023543523081752,-50345.21157279094,no mol_id exists,1,1136,1037.0293440818787,
resorcinol-QR-4-1932-3-OPT-1,4,1.4741449197847374,-50345.20804917276,no mol_id exists,1,1932,68.19087505340576,
resorcinol-QR-19-5658-3-OPT-1,19,1.447556007064424,-50345.17084636003,no mol_id exists,1,5658,347.16622018814087,
