id,spacegroup,density,energy,PBE_lattice_energy_kjmol,rel_energy,rel_PBE_energy,diff,rel_diff
oxalac_opt-QR-29-12630-3_P1-Thre-1-0-0-5717,1,1.7195,-83.7653,-93.99475107,3.4408,7.400454925,-10.22945107,3.959654925
oxalac_opt-QR-29-12630-3_P1-Thre-1-0-0-5733,1,1.6949,-81.8561,-91.54055899,5.35,9.854647006,-9.684458991,4.504647006
oxalac_opt-QR-29-12630-3_P1-Thre-1-0-0-5744,1,1.6949,-82.0054,-91.59279662,5.2007,9.802409378,-9.587396619,4.601709378
oxalac_opt-QR-29-12630-3_P1-Thre-1-0-0-5840,1,1.7649,-82.063,-91.74179767,5.1431,9.653408323,-9.678797673,4.510308323
oxalac_opt-QR-29-12630-3_P1-Thre-1-0-0-5871,1,1.7851,-82.9414,-92.17640199,4.2647,9.218804005,-9.235001992,4.954104005
oxalac_opt-QR-29-12630-3_P1-Thre-1-0-0-5915,1,1.7441,-82.0894,-90.1368823,5.1167,11.2583237,-8.047482295,6.141623702
oxalac_opt-QR-29-12630-3_P1-Thre-1-0-0-5951,1,1.7588,-81.8602,-89.5517732,5.3459,11.8434328,-7.691573199,6.497532798
oxalac_opt-QR-29-12630-3_P1-Thre-1-0-0-5975,1,1.7315,-82.0077,-90.51720133,5.1984,10.87800467,-8.509501326,5.67960467
oxalac_opt-QR-29-12630-3_P1-Thre-1-0-0-6014,1,1.6718,-81.3096,-89.85562449,5.8965,11.53958151,-8.546024488,5.643081509
oxalac_opt-QR-29-12630-3_P1-Thre-1-0-0-6039,1,1.6464,-81.5789,-90.01965578,5.6272,11.37555021,-8.440755782,5.748350214
oxalac_opt-QR-29-12630-3_P1-Thre-1-0-0-6065,1,1.627,-81.0926,-89.59824776,6.1135,11.79695824,-8.505647759,5.683458237
oxalac_opt-QR-29-12630-3_P1-Thre-1-0-0-6082,1,1.6562,-81.7257,-90.47495692,5.4804,10.92024907,-8.749256923,5.439849074
oxalac_opt-QR-29-12630-3_P1-Thre-1-0-0-6247,1,1.732,-81.4038,-91.61501815,5.8023,9.780187847,-10.21121815,3.977887847
oxalac_opt-QR-29-12630-3_P1-Thre-1-0-0-6250,1,1.7019,-81.6127,-90.90657671,5.5934,10.48862929,-9.29387671,4.895229287
oxalac_opt-QR-29-12630-3_P1-Thre-1-0-0-6323,1,1.6799,-81.5865,-90.51078119,5.6196,10.8844248,-8.924281194,5.264824803
oxalac_opt-QR-29-12630-3_P1-Thre-1-0-0-6335,1,1.6799,-81.1859,-89.94493129,6.0202,11.45027471,-8.759031289,5.430074708
oxalac_opt-QR-29-12630-3_P1-Thre-1-0-0-6358,1,1.762,-81.8599,-90.02504545,5.3462,11.37016055,-8.165145452,6.023960545
