id,spacegroup,density,energy,PBE_lattice_energy_kjmol,rel_energy,rel_PBE_energy,diff,rel_diff
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-6272,1,1.8476,-88.8784,-93.75512209,5.8773,4.350652288,-4.876722091,-1.526647712
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-6286,1,1.8489,-88.6649,-94.08247889,6.0908,4.023295489,-5.41757889,-2.067504511
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-6287,1,1.8489,-88.8775,-94.14038696,5.8782,3.96538742,-5.262886959,-1.91281258
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-6324,1,1.9485,-89.0907,-96.73732809,5.665,1.368446292,-7.646628087,-4.296553708
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-6359,1,1.9806,-88.6518,-91.72178059,6.1039,6.383993789,-3.06998059,0.280093789
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-6375,1,1.8901,-89.1674,-96.74818896,5.5883,1.357585423,-7.580788956,-4.230714577
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-6402,1,1.8247,-89.5241,-98.8688376,5.2316,-0.76306322,-9.3447376,-5.99466322
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-6444,1,1.7972,-89.697,-98.57225334,5.0587,-0.466478963,-8.875253343,-5.525178963
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-6481,1,1.8736,-88.6704,-96.76484039,6.0853,1.340933989,-8.09444039,-4.744366011
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-6519,1,1.7885,-88.3294,-95.29694862,6.4263,2.808825758,-6.967548622,-3.617474242
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-6529,1,1.7908,-89.0328,-95.48272722,5.7229,2.623047158,-6.449927222,-3.099852842
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-6548,1,1.7521,-88.5917,-96.10836497,6.164,1.997409408,-7.516664971,-4.166590592
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-6551,1,1.7521,-88.5567,-95.53061626,6.199,2.575158122,-6.973916257,-3.623841878
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-6586,1,1.803,-89.1123,-99.81818597,5.6434,-1.712411589,-10.70588597,-7.355811589
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-6680,1,1.8619,-88.9069,-97.77596782,5.8488,0.329806561,-8.869067819,-5.518993439
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-6743,1,1.8316,-88.5744,-95.02035419,6.1813,3.085420189,-6.445954191,-3.095879811
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-6763,1,1.7457,-89.4145,-97.20846488,5.3412,0.8973095,-7.793964879,-4.4438905
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-6818,1,1.823,-89.1793,-94.17086522,5.5764,3.934909159,-4.991565221,-1.641490841
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-6886,1,1.8694,-88.521,-93.73604116,6.2347,4.369733222,-5.215041157,-1.864966778
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-6903,1,1.8905,-88.1717,-93.62152564,6.584,4.484248739,-5.44982564,-2.099751261
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-6921,1,1.8954,-88.4449,-94.58450931,6.3108,3.521265067,-6.139609312,-2.789534933
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-6965,1,1.899,-88.4946,-97.18829752,6.2611,0.917476859,-8.69369752,-5.343623141
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-6982,1,1.8449,-88.3864,-97.33507676,6.3693,0.77069762,-8.948676759,-5.59860238
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-7027,1,1.8923,-87.9041,-93.8555001,6.8516,4.250274281,-5.951400099,-2.601325719
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-7110,1,1.949,-89.0138,-91.8159956,5.7419,6.289778781,-2.802195598,0.547878781
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-7148,1,1.9407,-87.7205,-88.36516722,7.0352,9.740607161,-0.644667218,2.705407161
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-7175,1,1.8729,-87.9929,-91.6586792,6.7628,6.44709518,-3.665779199,-0.31570482
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-7178,1,1.8734,-88.1599,-91.53274368,6.5958,6.573030698,-3.372843681,-0.022769302
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-7184,1,1.8373,-88.0875,-92.49196105,6.6682,5.61381333,-4.404461049,-1.05438667
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-7185,1,1.8373,-88.5366,-93.23011321,6.2191,4.875661169,-4.693513211,-1.343438831
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-7214,1,1.877,-87.8841,-97.37760121,6.8716,0.728173168,-9.493501211,-6.143426832
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-7284,1,1.9239,-87.7244,-96.37370825,7.0313,1.732066129,-8.649308251,-5.299233871
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-7292,1,1.8667,-88.3212,-97.46347989,6.4345,0.642294491,-9.142279889,-5.792205509
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-7417,1,1.8654,-88.76,-92.94888025,5.9957,5.156894131,-4.188880249,-0.838805869
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-7473,1,1.8917,-88.5578,-88.44401308,6.1979,9.661761298,0.113786918,3.463861298
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-7479,1,1.9138,-88.656,-92.90129273,6.0997,5.204481649,-4.24529273,-0.895218351
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-7509,1,1.8719,-87.8658,-94.2087632,6.8899,3.897011177,-6.342963202,-2.992888823
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-7511,1,1.8716,-87.5846,-94.08099205,7.1711,4.024782328,-6.496392051,-3.146317672
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-7608,1,1.8297,-88.4178,-93.79477996,6.3379,4.310994414,-5.376979965,-2.026905586
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-7646,1,1.819,-87.387,-93.90218934,7.3687,4.20358504,-6.515189339,-3.16511496
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-7709,1,1.8021,-87.3973,-93.17998909,7.3584,4.925785286,-5.782689093,-2.432614714
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-7751,1,1.8743,-87.4456,-90.49301945,7.3101,7.612754924,-3.047419455,0.302654924
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-7770,1,1.9212,-87.3308,-92.76155981,7.4249,5.344214566,-5.430759813,-2.080685434
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-7875,1,1.856,-87.9593,-92.59840268,6.7964,5.507371704,-4.639102676,-1.289028296
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-7900,1,1.8531,-87.2654,-89.46222736,7.4903,8.643547023,-2.196827356,1.153247023
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-7970,1,1.9176,-87.4035,-87.48157986,7.3522,10.62419452,-0.078079858,3.271994521
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-7971,1,1.9174,-87.2872,-87.28661489,7.4685,10.81915949,0.000585108,3.350659488
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-7997,1,1.9174,-87.8257,-87.67122077,6.93,10.43455361,0.154479235,3.504553614
